Category: All categories

Month,student loan forgiveness: (United States)
2004-01,3
2004-02,3
2004-03,1
2004-04,3
2004-05,1
2004-06,5
2004-07,6
2004-08,2
2004-09,3
2004-10,1
2004-11,2
2004-12,2
2005-01,7
2005-02,3
2005-03,4
2005-04,4
2005-05,5
2005-06,4
2005-07,2
2005-08,5
2005-09,4
2005-10,3
2005-11,2
2005-12,4
2006-01,5
2006-02,2
2006-03,2
2006-04,3
2006-05,5
2006-06,3
2006-07,3
2006-08,2
2006-09,2
2006-10,3
2006-11,3
2006-12,4
2007-01,4
2007-02,3
2007-03,4
2007-04,3
2007-05,2
2007-06,5
2007-07,3
2007-08,3
2007-09,5
2007-10,5
2007-11,2
2007-12,3
2008-01,3
2008-02,4
2008-03,6
2008-04,6
2008-05,5
2008-06,4
2008-07,7
2008-08,4
2008-09,4
2008-10,5
2008-11,5
2008-12,6
2009-01,7
2009-02,8
2009-03,6
2009-04,9
2009-05,7
2009-06,10
2009-07,13
2009-08,9
2009-09,10
2009-10,9
2009-11,7
2009-12,8
2010-01,11
2010-02,11
2010-03,12
2010-04,12
2010-05,8
2010-06,11
2010-07,8
2010-08,7
2010-09,6
2010-10,7
2010-11,4
2010-12,7
2011-01,9
2011-02,7
2011-03,6
2011-04,6
2011-05,7
2011-06,6
2011-07,6
2011-08,7
2011-09,8
2011-10,15
2011-11,13
2011-12,7
2012-01,10
2012-02,9
2012-03,20
2012-04,19
2012-05,14
2012-06,17
2012-07,14
2012-08,11
2012-09,9
2012-10,10
2012-11,12
2012-12,10
2013-01,12
2013-02,12
2013-03,11
2013-04,12
2013-05,13
2013-06,11
2013-07,13
2013-08,20
2013-09,13
2013-10,13
2013-11,14
2013-12,14
2014-01,21
2014-02,24
2014-03,25
2014-04,27
2014-05,28
2014-06,53
2014-07,38
2014-08,35
2014-09,27
2014-10,26
2014-11,20
2014-12,21
2015-01,27
2015-02,24
2015-03,25
2015-04,28
2015-05,22
2015-06,27
2015-07,28
2015-08,28
2015-09,23
2015-10,21
2015-11,20
2015-12,19
2016-01,30
2016-02,24
2016-03,22
2016-04,23
2016-05,23
2016-06,22
2016-07,23
2016-08,24
2016-09,22
2016-10,19
2016-11,23
2016-12,23
2017-01,25
2017-02,25
2017-03,20
2017-04,20
2017-05,22
2017-06,20
2017-07,22
2017-08,21
2017-09,19
2017-10,17
2017-11,16
2017-12,16
2018-01,18
2018-02,18
2018-03,18
2018-04,17
2018-05,17
2018-06,18
2018-07,18
2018-08,17
2018-09,15
2018-10,18
2018-11,18
2018-12,18
2019-01,20
2019-02,21
2019-03,21
2019-04,20
2019-05,20
2019-06,20
2019-07,17
2019-08,23
2019-09,18
2019-10,21
2019-11,15
2019-12,13
2020-01,20
2020-02,25
2020-03,37
2020-04,26
2020-05,37
2020-06,21
2020-07,25
2020-08,25
2020-09,18
2020-10,16
2020-11,30
2020-12,33
2021-01,64
2021-02,83
2021-03,96
2021-04,100
