,School,INSTNM_x,INSTNM_x,INSTNM_x,UNITID_x,UNITID_x,UNITID_x,UNITID_x,UNITID_x,UNITID_x,UNITID_x
0,George C. Wallace State Community College,George C Wallace State Community College-Selma,George C Wallace State Community College-Selma,George C Wallace State Community College-Selma,101301,101301,101301,101301,101301,101301,101301
3,Caada College,Canada College,Canada College,Canada College,111434,111434,111434,111434,111434,111434,111434
4,Cascadia College,Canada College,Canada College,Canada College,111434,111434,111434,111434,111434,111434,111434
5,San Diego City College,San Diego Christian College,San Diego Christian College,San Diego Christian College,112084,112084,112084,112084,112084,112084,112084
6,Glendale Community College,Glendale Community College,Glendale Community College,Glendale Community College,115001,115001,115001,115001,115001,115001,115001
7,Glendale Community College,Glendale Community College,Glendale Community College,Glendale Community College,115001,115001,115001,115001,115001,115001,115001
8,Lakeland Community College,Lassen Community College,Lassen Community College,Lassen Community College,117274,117274,117274,117274,117274,117274,117274
9,Lane Community College,Lassen Community College,Lassen Community College,Lassen Community College,117274,117274,117274,117274,117274,117274,117274
10,Los Angeles Trade-Technical College,Los Angeles Trade Technical College,Los Angeles Trade Technical College,Los Angeles Trade Technical College,117724,117724,117724,117724,117724,117724,117724
11,Ventura College,Ventura College,Ventura College,Ventura College,125028,125028,125028,125028,125028,125028,125028
12,GateWay Community College,Gateway Community College,Gateway Community College,Gateway Community College,130396,130396,130396,130396,130396,130396,130396
13,GateWay Community College,GateWay Community College-Central City,GateWay Community College-Central City,GateWay Community College-Central City,246895,246895,246895,246895,246895,246895,246895
14,Gateway Community College,Gateway Community College,Gateway Community College,Gateway Community College,130396,130396,130396,130396,130396,130396,130396
15,Dalton State College,Daytona State College,Daytona State College,Daytona State College,133386,133386,133386,133386,133386,133386,133386
16,Seminole State College,Seminole State College of Florida,Seminole State College of Florida,Seminole State College of Florida,137209,137209,137209,137209,137209,137209,137209
19,Columbia College,Columbia College,Columbia College,Columbia College,217934,217934,217934,217934,217934,217934,217934
23,Columbia Basin College,Columbia College,Columbia College,Columbia College,217934,217934,217934,217934,217934,217934,217934
24,Lincoln College,Lincoln College,Lincoln College,Lincoln College,146676,146676,146676,146676,146676,146676,146676
25,North Central Missouri College,North Central College,North Central College,North Central College,147660,147660,147660,147660,147660,147660,147660
